order_id,user_id,total_price,status,order_date
1,23,90757.04,Delivered,2026-01-01 20:38:13
2,47,69184.02,Pending,2026-04-19 01:33:24
3,60,57090.89,Delivered,2026-02-05 00:42:01
4,54,94481.65,Delivered,2026-03-13 22:12:09
5,24,86814.15,Delivered,2025-11-12 01:24:19
6,3,99358.87,Delivered,2025-12-22 13:55:16
7,6,128370.0,Delivered,2026-01-17 10:45:08
8,25,42057.05,Delivered,2025-11-09 15:35:30
9,24,24816.79,Shipped,2026-02-24 20:26:10
10,43,40413.18,Cancelled,2025-11-30 16:30:56
11,42,11174.68,Delivered,2026-03-16 18:04:32
12,35,109504.46,Pending,2026-01-08 22:12:29
13,25,40857.2,Cancelled,2026-01-10 08:16:35
14,45,83763.99,Delivered,2026-02-08 21:03:25
15,54,115362.88,Pending,2025-12-28 23:50:44
16,53,5298.99,Shipped,2026-03-19 11:39:57
17,18,10395.2,Cancelled,2026-04-22 14:00:51
18,37,131516.96,Shipped,2026-03-21 19:08:02
19,42,75135.07,Delivered,2025-11-19 07:02:32
20,42,69098.35,Pending,2026-01-14 17:52:00
21,16,111875.85,Delivered,2025-12-22 16:29:39
22,48,87895.61,Delivered,2026-05-01 06:22:21
23,26,54618.47,Cancelled,2026-02-21 20:25:30
24,9,76674.18,Pending,2025-11-27 01:53:44
25,4,129234.88,Pending,2025-12-02 10:08:18
26,11,118915.86,Shipped,2025-12-06 21:57:12
27,5,58022.71,Delivered,2026-03-08 19:51:44
28,30,79602.59,Cancelled,2026-02-05 10:37:04
29,56,141393.41,Delivered,2025-12-11 15:03:20
30,8,102415.7,Delivered,2026-01-29 12:59:52
31,18,115405.51,Shipped,2025-11-09 12:37:19
32,19,65497.4,Shipped,2025-11-24 14:23:28
33,47,131440.01,Pending,2026-03-12 22:18:07
34,33,114413.35,Delivered,2026-04-24 11:30:13
35,7,130642.53,Pending,2025-11-14 14:41:52
36,41,76395.6,Pending,2026-05-09 01:45:34
37,24,114495.36,Delivered,2026-03-07 18:02:58
38,50,138403.9,Cancelled,2026-04-01 20:45:23
39,39,48961.33,Pending,2025-11-20 17:28:29
40,60,54765.62,Cancelled,2025-11-09 11:12:04
41,52,46473.36,Pending,2026-02-17 19:52:47
42,57,85319.86,Pending,2025-11-15 13:01:00
43,47,73155.57,Pending,2025-12-07 14:05:36
44,49,80139.57,Pending,2026-01-11 01:02:29
45,43,71554.72,Delivered,2026-05-05 07:26:17
46,17,79387.23,Delivered,2026-02-28 11:51:17
47,14,139372.57,Delivered,2026-02-18 03:03:19
48,45,30572.08,Shipped,2026-03-16 21:34:41
49,43,97656.77,Shipped,2026-01-22 17:29:34
50,34,67997.18,Pending,2026-03-27 10:27:54
51,5,51043.79,Delivered,2026-01-11 11:35:59
52,15,88471.8,Pending,2026-02-13 17:35:31
53,46,94849.89,Pending,2026-03-20 22:33:27
54,58,5196.24,Shipped,2025-11-19 13:38:15
55,33,36081.69,Delivered,2026-01-03 13:31:54
56,14,81115.47,Delivered,2026-03-11 17:23:11
57,57,85870.94,Shipped,2025-11-27 18:03:05
58,51,71209.45,Shipped,2026-04-08 17:55:01
59,7,14991.16,Shipped,2025-11-29 17:14:45
60,28,61959.79,Delivered,2026-01-23 10:29:54
61,4,101168.0,Cancelled,2026-01-09 06:24:21
62,7,9561.59,Delivered,2026-04-09 10:35:44
63,52,129320.04,Pending,2026-04-28 20:22:25
64,13,80674.72,Pending,2026-03-24 08:16:43
65,12,42142.5,Pending,2026-02-23 23:33:52
66,60,11770.04,Delivered,2026-02-17 08:48:04
67,55,82773.63,Pending,2025-12-13 16:40:01
68,35,125486.12,Cancelled,2026-04-03 17:56:24
69,60,113158.04,Pending,2026-01-30 16:26:29
70,27,73103.35,Pending,2026-03-09 20:55:46
71,26,135415.21,Pending,2026-04-19 11:01:01
72,1,147803.67,Pending,2026-01-16 01:35:09
73,51,117876.84,Pending,2026-02-08 19:48:25
74,45,143618.99,Cancelled,2025-11-10 21:12:52
75,36,99449.76,Shipped,2025-12-12 22:10:38
